1854.png	nerd face	🤓️	\U0001F913\U0000FE0F	U+1F913	nerd face
1855.png	face with monocle	🧐️	\U0001F9D0\U0000FE0F	U+1F9D0	face with monocle
1856.png	confused face	😕️	\U0001F615\U0000FE0F	U+1F615	confused face
1857.png	worried face	😟️	\U0001F61F\U0000FE0F	U+1F61F	worried face
1858.png	slightly frowning face	🙁️	\U0001F641\U0000FE0F	U+1F641	slightly frowning face
1859.png	frowning face	☹️	\U00002639\U0000FE0F	U+2639	frowning face
1860.png	face with open mouth	😮️	\U0001F62E\U0000FE0F	U+1F62E	face with open mouth
1861.png	hushed face	😯️	\U0001F62F\U0000FE0F	U+1F62F	hushed face
1862.png	astonished face	😲️	\U0001F632\U0000FE0F	U+1F632	astonished face
1863.png	flushed face	😳️	\U0001F633\U0000FE0F	U+1F633	flushed face
1864.png	pleading face	🥺️	\U0001F97A\U0000FE0F	U+1F97A	pleading face
1865.png	frowning face with open mouth	😦️	\U0001F626\U0000FE0F	U+1F626	frowning face with open mouth
1866.png	anguished face	😧️	\U0001F627\U0000FE0F	U+1F627	anguished face
1867.png	fearful face	😨️	\U0001F628\U0000FE0F	U+1F628	fearful face
1868.png	anxious face with sweat	😰️	\U0001F630\U0000FE0F	U+1F630	anxious face with sweat
1869.png	sad but relieved face	😥️	\U0001F625\U0000FE0F	U+1F625	sad but relieved face
1870.png	crying face	😢️	\U0001F622\U0000FE0F	U+1F622	crying face
1871.png	loudly crying face	😭️	\U0001F62D\U0000FE0F	U+1F62D	loudly crying face
1872.png	face screaming in fear	😱️	\U0001F631\U0000FE0F	U+1F631	face screaming in fear
1873.png	confounded face	😖️	\U0001F616\U0000FE0F	U+1F616	confounded face
1874.png	persevering face	😣️	\U0001F623\U0000FE0F	U+1F623	persevering face
1875.png	disappointed face	😞️	\U0001F61E\U0000FE0F	U+1F61E	disappointed face
1876.png	downcast face with sweat	😓️	\U0001F613\U0000FE0F	U+1F613	downcast face with sweat
1877.png	weary face	😩️	\U0001F629\U0000FE0F	U+1F629	weary face
1878.png	tired face	😫️	\U0001F62B\U0000FE0F	U+1F62B	tired face
1879.png	yawning face	🥱️	\U0001F971\U0000FE0F	U+1F971	yawning face
1880.png	face with steam from nose	😤️	\U0001F624\U0000FE0F	U+1F624	face with steam from nose
1881.png	pouting face	😡️	\U0001F621\U0000FE0F	U+1F621	pouting face
1882.png	angry face	😠️	\U0001F620\U0000FE0F	U+1F620	angry face
1883.png	face with symbols on mouth	🤬️	\U0001F92C\U0000FE0F	U+1F92C	face with symbols on mouth
1884.png	smiling face with horns	😈️	\U0001F608\U0000FE0F	U+1F608	smiling face with horns
1885.png	angry face with horns	👿️	\U0001F47F\U0000FE0F	U+1F47F	angry face with horns
1886.png	skull	💀️	\U0001F480\U0000FE0F	U+1F480	skull
1887.png	skull and crossbones	☠️	\U00002620\U0000FE0F	U+2620	skull and crossbones
1888.png	pile of poo	💩️	\U0001F4A9\U0000FE0F	U+1F4A9	pile of poo
1889.png	clown face	🤡️	\U0001F921\U0000FE0F	U+1F921	clown face
1890.png	ogre	👹️	\U0001F479\U0000FE0F	U+1F479	ogre
1891.png	goblin	👺️	\U0001F47A\U0000FE0F	U+1F47A	goblin
1892.png	ghost	👻️	\U0001F47B\U0000FE0F	U+1F47B	ghost
1893.png	alien	👽️	\U0001F47D\U0000FE0F	U+1F47D	alien
1894.png	alien monster	👾️	\U0001F47E\U0000FE0F	U+1F47E	alien monster
1895.png	robot	🤖️	\U0001F916\U0000FE0F	U+1F916	robot
1896.png	grinning cat	😺️	\U0001F63A\U0000FE0F	U+1F63A	grinning cat
1897.png	grinning cat with smiling eyes	😸️	\U0001F638\U0000FE0F	U+1F638	grinning cat with smiling eyes
1898.png	cat with tears of joy	😹️	\U0001F639\U0000FE0F	U+1F639	cat with tears of joy
1899.png	smiling cat with heart-eyes	😻️	\U0001F63B\U0000FE0F	U+1F63B	smiling cat with heart-eyes
1900.png	cat with wry smile	😼️	\U0001F63C\U0000FE0F	U+1F63C	cat with wry smile
1901.png	kissing cat	😽️	\U0001F63D\U0000FE0F	U+1F63D	kissing cat
1902.png	weary cat	🙀️	\U0001F640\U0000FE0F	U+1F640	weary cat
1903.png	crying cat	😿️	\U0001F63F\U0000FE0F	U+1F63F	crying cat
1904.png	pouting cat	😾️	\U0001F63E\U0000FE0F	U+1F63E	pouting cat
1905.png	see-no-evil monkey	🙈️	\U0001F648\U0000FE0F	U+1F648	see-no-evil monkey
1906.png	hear-no-evil monkey	🙉️	\U0001F649\U0000FE0F	U+1F649	hear-no-evil monkey
1907.png	speak-no-evil monkey	🙊️	\U0001F64A\U0000FE0F	U+1F64A	speak-no-evil monkey
1908.png	kiss mark	💋️	\U0001F48B\U0000FE0F	U+1F48B	kiss mark
1909.png	love letter	💌️	\U0001F48C\U0000FE0F	U+1F48C	love letter
1910.png	heart with arrow	💘️	\U0001F498\U0000FE0F	U+1F498	heart with arrow
1911.png	heart with ribbon	💝️	\U0001F49D\U0000FE0F	U+1F49D	heart with ribbon
1912.png	sparkling heart	💖️	\U0001F496\U0000FE0F	U+1F496	sparkling heart
1913.png	growing heart	💗️	\U0001F497\U0000FE0F	U+1F497	growing heart
1914.png	beating heart	💓️	\U0001F493\U0000FE0F	U+1F493	beating heart
